airline_sentiment,text,cleaned_text
positive,@SouthwestAir thank you so much completely made things right!,thank you so much completely made things right
positive,@SouthwestAir love them! Always get the best deals!,love them Always get the best deals
neutral,@SouthwestAir can you follow me so I can send you the info?,can you follow me so I can send you the info
neutral,@SouthwestAir once again on Glassdoor's Best Places To Work snagging # 15 overall #notsurprising #LUVthem,once again on Glassdoors Best Places To Work snagging  15 overall notsurprising LUVthem
negative,@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit,poor performance all around Paid for Express checkin weeks ago and cant even leverage it bullshit
positive,@SouthwestAir thx. Make it right. Help Meagan Fouty Brancato fl#2771 dfw gate 4 preboard w/kids - b4 group A please. Please.,thx Make it right Help Meagan Fouty Brancato fl2771 dfw gate 4 preboard wkids  b4 group A please Please
neutral,@SouthwestAir I have been on hold for over 28 minutes  please help http://t.co/Fx9BIJlxAt,I have been on hold for over 28 minutes  please help
neutral,@SouthwestAir can y'all develop Ding for a chrome/Firefox browser extension? That would be swell,can yall develop Ding for a chromeFirefox browser extension That would be swell
neutral,@SouthwestAir can take u to Midway-Chicago March 8th-April 6th. Can't make it then? @AmericanAir can get u to @fly2ohare year round. #FlyPBI,can take u to MidwayChicago March 8thApril 6th Cant make it then  can get u to  year round FlyPBI
negative,@SouthwestAir Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting,Logically you would think you check all that before you have people board I couldve drove home in the time Ive been waiting
positive,@SouthwestAir  thanks Southwest for saving our trip. my sweetheart isn't going to miss seeing #AltonBrownLive thanks to y'all! #SOhappy,thanks Southwest for saving our trip my sweetheart isnt going to miss seeing AltonBrownLive thanks to yall SOhappy
negative,@SouthwestAir can you have someone call me back? I have been on hold two times today for over 20 min and still haven't gotten through,can you have someone call me back I have been on hold two times today for over 20 min and still havent gotten through
neutral,@SouthwestAir did you know that suicide is the second leading cause of death among teens 10-24,did you know that suicide is the second leading cause of death among teens 1024
neutral,.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?,she needs a wheelchair at the gate for sure What options does she have
positive,@SouthwestAir I managed to get sorted out over the phone. Good luck dealing with the snow in Texas!,I managed to get sorted out over the phone Good luck dealing with the snow in Texas
negative,"@SouthwestAir has grounded 2 flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our 2 young kids.  never again.",has grounded 2 flights bc of equipment problems amp been rude to my wife traveling alone wour 2 young kids  never again
neutral,@SouthwestAir Do you promise to not unfollow me? 😉,Do you promise to not unfollow me
negative,@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤,oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned
positive,@SouthwestAir weather bc of system outage. Hopefully everything goes smoothly now. Thank you for follow up,weather bc of system outage Hopefully everything goes smoothly now Thank you for follow up
negative,@SouthwestAir belt issues. Been a rough day for them. Worst part is traveling with 9 month old and having to wait outside in 85 degree,belt issues Been a rough day for them Worst part is traveling with 9 month old and having to wait outside in 85 degree
neutral,"@SouthwestAir oh, is it only in Atlanta?",oh is it only in Atlanta
positive,@SouthwestAir  I USED to always fly Southwest.,I USED to always fly Southwest
negative,@SouthwestAir  got my bags 35 hours Late Flightr and an offer of $50 to go pick them up. Taxi costs $65 one way. Spent $200 for the inconvenience.,got my bags 35 hours Late Flightr and an offer of 50 to go pick them up Taxi costs 65 one way Spent 200 for the inconvenience
negative,@SouthwestAir thx but I'll be expecting a credit for this leg.,thx but Ill be expecting a credit for this leg
neutral,"@SouthwestAir sure, please follow me so I can do so?",sure please follow me so I can do so
negative,"@SouthwestAir  appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac",appreciate yall getting the gate issue figured GRR Plenty open gates yet we sit and wait on tarmac
neutral,@SouthwestAir sent!,sent
negative,@SouthwestAir 20 minutes on hold waiting is ridiculous......,20 minutes on hold waiting is ridiculous
negative,@SouthwestAir have u seen any of the messages the past hour ?,have u seen any of the messages the past hour
neutral,@SouthwestAir I'm following now,Im following now
positive,@SouthwestAir round-trip tickets just arrived for our auction at the Post-Masters Invitational! Thanks Southwest! http://t.co/mRfBjtePef,roundtrip tickets just arrived for our auction at the PostMasters Invitational Thanks Southwest
negative,@SouthwestAir I'm so upset that my luggage was damaged and the rude employee at the Laguardia airport didn't help!,Im so upset that my luggage was damaged and the rude employee at the Laguardia airport didnt help
neutral,@SouthwestAir what is the status of the bag check area at FFL?,what is the status of the bag check area at FFL
positive,@SouthwestAir @heavenlychc9 I'd at least enjoy a free cocktail...or two.,Id at least enjoy a free cocktailor two
negative,@SouthwestAir your phone service sucks,your phone service sucks
neutral,"@SouthwestAir my flight at BWI is delayed and I will miss my flight in Denver, is there a way to find out if they will hold the plane?",my flight at BWI is delayed and I will miss my flight in Denver is there a way to find out if they will hold the plane
negative,@SouthwestAir are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I'm on...,are people in an exit row still supposed to give their verbal approvals I was never asked on the flight Im on
negative,@SouthwestAir oh and now your company has caused us to lose an entire day of our vacation in Cancun. De Boarded waiting for another plane,oh and now your company has caused us to lose an entire day of our vacation in Cancun De Boarded waiting for another plane
negative,"@SouthwestAir trying to change my reservation, been on hold for 45 minutes, and can't do it online-was directed to call. Help?",trying to change my reservation been on hold for 45 minutes and cant do it onlinewas directed to call Help
negative,@SouthwestAir great now we are all de boarding perfectly plane is shot. Fml. Plans are screwed. Thanks for nothing @SouthwestAir,great now we are all de boarding perfectly plane is shot Fml Plans are screwed Thanks for nothing
neutral,@SouthwestAir Teyana Taylor Performing #MedusaFridays 2.27 Free Till11 http://t.co/qwFMoQ0dQl http://t.co/kbb0B5FxMK #TheMenOfBusiness,Teyana Taylor Performing MedusaFridays 227 Free Till11   TheMenOfBusiness
negative,@SouthwestAir thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.,thanks for the apology Unfortunately i have had one too many bad experiences and will no longer be flying with southwest
negative,@SouthwestAir I was told by customer service that only customer relations can extend the expiration date of my unused travel funds.,I was told by customer service that only customer relations can extend the expiration date of my unused travel funds
negative,@SouthwestAir @SMiles1307 over two hours now.  Ugh we should all get vouchers this is inexcusable ESP after a pre flight check that was ok.,over two hours now  Ugh we should all get vouchers this is inexcusable ESP after a pre flight check that was ok
negative,"@SouthwestAir horrible experience, passenger of size was 1/3 in my seat, offered $50 voucher for this by Christine C http://t.co/1xzrK66wVQ",horrible experience passenger of size was 13 in my seat offered 50 voucher for this by Christine C
neutral,@SouthwestAir 3rd time flying southwest in two years. Have another trip back to mx on October.,3rd time flying southwest in two years Have another trip back to mx on October
negative,"@SouthwestAir yes, very much so! I was looking forward to using your airlines for future flights but never again.",yes very much so I was looking forward to using your airlines for future flights but never again
negative,@SouthwestAir need to learn how to treat people with respect and just a little dignity. #FAIL,need to learn how to treat people with respect and just a little dignity FAIL
negative,"@SouthwestAir Redeem-points packages magically gone by time we finally got through @ 10:01, felt like #baitandswitch",Redeempoints packages magically gone by time we finally got through  1001 felt like baitandswitch
neutral,@SouthwestAir done,done
negative,@SouthwestAir I think I get a faster response on Twitter than I do when I call...what's up with that?,I think I get a faster response on Twitter than I do when I callwhats up with that
neutral,@SouthwestAir Any idea when the winter advisory will be posted for ATL for tomorrow (2/25)?? I'd rather get to PHL tonight.,Any idea when the winter advisory will be posted for ATL for tomorrow 225 Id rather get to PHL tonight
negative,"@SouthwestAir then had to watch the staff check off each passenger on the list TWICE, because the first time they forgot look at IDs. Brutal",then had to watch the staff check off each passenger on the list TWICE because the first time they forgot look at IDs Brutal
positive,@SouthwestAir Thx for your quick response and action! bf will make good use of the voucher #satisfied #happycustomer,Thx for your quick response and action bf will make good use of the voucher satisfied happycustomer
negative,@SouthwestAir Rapid Rewards program sold me short. #Lasttweetaboutthis but still #disappointed.,Rapid Rewards program sold me short Lasttweetaboutthis but still disappointed
negative,@SouthwestAir freezing in the plane,freezing in the plane
negative,@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are,where your airline people screwed up our boarding passes on the way back from puerto Vallarta This is horrible and we are
negative,@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 15 hours with a rep this bumping us
negative,@SouthwestAir due to an apparent water issue that checked out fine during the checks my husband and I already had to deal with our first,due to an apparent water issue that checked out fine during the checks my husband and I already had to deal with our first
negative,@SouthwestAir u have a lot of pissed off hungry tired people stuck at midway 4 over 2 hours after scheduled departure. This is inexcusable,u have a lot of pissed off hungry tired people stuck at midway 4 over 2 hours after scheduled departure This is inexcusable
negative,"@SouthwestAir if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page",if youre going to charge for wifi do us all a solid and make sure it doesnt take the length of the flight to open a page
negative,"@SouthwestAir your website has now reverted my 1st flight to only a 5-minute delay. But it's changed, so is that reliable information?",your website has now reverted my 1st flight to only a 5minute delay But its changed so is that reliable information
negative,@SouthwestAir SWA helps the hotel industry. I always book flights a day before I need to be somewhere as SWA consistent Cancelled Flights/delays.,SWA helps the hotel industry I always book flights a day before I need to be somewhere as SWA consistent Cancelled Flightsdelays
negative,@SouthwestAir unfortunately once the call was answered service was horrid. SWA was the role-model of finger pointing &amp; excuses #DISAPPOINTED,unfortunately once the call was answered service was horrid SWA was the rolemodel of finger pointing amp excuses DISAPPOINTED
neutral,@SouthwestAir Barzegar charges tourists 700 euros [!] a night for their stay in the tent village he runs. http://t.co/igSVzvrbbN,Barzegar charges tourists 700 euros  a night for their stay in the tent village he runs
neutral,@SouthwestAir can you please make sense of the companion promo? How to we set it up?,can you please make sense of the companion promo How to we set it up
neutral,@SouthwestAir live in Atlanta but cant enroll in your Atlanta companion promotion. Error every time. Can you help? Also sent email. Thanks!,live in Atlanta but cant enroll in your Atlanta companion promotion Error every time Can you help Also sent email Thanks
negative,@SouthwestAir frustrating indeed especially when no one knows what the issue is....,frustrating indeed especially when no one knows what the issue is
neutral,"@SouthwestAir That was Chantilly, Paris, France.",That was Chantilly Paris France
negative,@SouthwestAir and thx for not responding,and thx for not responding
negative,@SouthwestAir I booked a flight on my phone and then never got a confirmation email. How would I go about getting that?,I booked a flight on my phone and then never got a confirmation email How would I go about getting that
negative,@SouthwestAir Supposed to take off almost 2 hours ago....#vacationfail #frozenwater? #gettingimpatient #theycouldatleastofferfreebooze,Supposed to take off almost 2 hours agovacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze
negative,@SouthwestAir how come I'm not getting my points after I buy from the rapid reward shopping site?,how come Im not getting my points after I buy from the rapid reward shopping site
neutral,@SouthwestAir hey I'm flying from Tampa to Denver today and I want to know if there will be tv's in the seats like @JetBlue,hey Im flying from Tampa to Denver today and I want to know if there will be tvs in the seats like
negative,@SouthwestAir mins and no answer. My wife and baby need to get on that flight. She arrived 2 hrs prior. Please help. Venetia Crook,mins and no answer My wife and baby need to get on that flight She arrived 2 hrs prior Please help Venetia Crook
positive,@SouthwestAir Thanks! Sent a DM to you. Let me know if oyu need any additional information.,Thanks Sent a DM to you Let me know if oyu need any additional information
negative,"@SouthwestAir Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?",Hey friends When I phone the Alist number your IVR hangs up on me Multiple times Not sure how to proceed
negative,"@SouthwestAir LA always has traffic, but this is INSANE. I can't be the only one with this issue on flight 1625",LA always has traffic but this is INSANE I cant be the only one with this issue on flight 1625
negative,@SouthwestAir INSANE traffic in LA. Trying to call you all to re schedule flight but been on phone for 20 minutes and nothing.,INSANE traffic in LA Trying to call you all to re schedule flight but been on phone for 20 minutes and nothing
neutral,@SouthwestAir Airline trouble &amp; not getting satisfactory customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,Airline trouble amp not getting satisfactory customer service contact   we negotiate resolutions for You
neutral,@SouthwestAir hey southwest! Help me find a flight from Nashville - Washington DC or Raleigh for under $150 on March 15 please!,hey southwest Help me find a flight from Nashville  Washington DC or Raleigh for under 150 on March 15 please
negative,@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......,NOR  fly to Toronto Youre killing me smalls
neutral,@SouthwestAir Thank you!,Thank you
neutral,@SouthwestAir traditionally used sledge hammer - low $ taking share from driving | now scalpel approach through data science  #ANAmarketers,traditionally used sledge hammer  low  taking share from driving  now scalpel approach through data science  ANAmarketers
positive,@SouthwestAir Customer Centricity is knowing people #ANAMarketers,Customer Centricity is knowing people ANAMarketers
negative,"@SouthwestAir I have used you guys for most my travels, but this last experience I will never use southwest again! #worstcustomerservice",I have used you guys for most my travels but this last experience I will never use southwest again worstcustomerservice
neutral,@SouthwestAir is America's largest airline by passengers carried! Wonder if this is b/c they have a 'Customer Service Bible' #ANAmarketers,is Americas largest airline by passengers carried Wonder if this is bc they have a Customer Service Bible ANAmarketers
negative,"@SouthwestAir: #VIPLiveintheVieyard - first time we tried to redeem pts for *anything*, it really did not go well. #disappointed",VIPLiveintheVieyard  first time we tried to redeem pts for anything it really did not go well disappointed
positive,@SouthwestAir ok thank you  i hope  so too,ok thank you  i hope  so too
negative,@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.,Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling Your phone lines are super busy
positive,"@SouthwestAir @intuit @jhamilton2007 4 moms, 4 careers, 1 day trip to LA. #intuitlife #leanin http://t.co/2qJbCv5jzq"" #southwestairlines",4 moms 4 careers 1 day trip to LA intuitlife leanin  southwestairlines
negative,"@SouthwestAir Switching planes due to mechanical problems.  How does reboarding work? Was A49, now at end of long line.  Stuck in middle?",Switching planes due to mechanical problems  How does reboarding work Was A49 now at end of long line  Stuck in middle
negative,"@SouthwestAir Why, when I booked via phone after calling the A List preferred #, didn't my KTA get added to the ticket??? Must I use web?",Why when I booked via phone after calling the A List preferred  didnt my KTA get added to the ticket Must I use web
negative,"@SouthwestAir: Tried for VIP Live in The Vineyard but yr site went down, by the time I got in 2 redeem pts those packages gone.",Tried for VIP Live in The Vineyard but yr site went down by the time I got in 2 redeem pts those packages gone
neutral,@SouthwestAir An Oscar-worthy entrance into LA. http://t.co/10tmtHVFDC,An Oscarworthy entrance into LA
positive,"@SouthwestAir is the best airline hands down. Amazing customer service, bags free and affordable flights. #happycamper",is the best airline hands down Amazing customer service bags free and affordable flights happycamper
positive,@SouthwestAir thanks to Ella-Mae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled!,thanks to EllaMae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled
neutral,@SouthwestAir @PHLAirport Will Flight 2155 that arrives at E11 be a penguin plane?,Will Flight 2155 that arrives at E11 be a penguin plane
positive,@SouthwestAir Thank you for taking good care of people with ALS! http://t.co/m1yyWAFkFI @KevinSwan_ @ALSTDI @A_Life_Story_,Thank you for taking good care of people with ALS
positive,@SouthwestAir has the smoooothest flight attendants. #SouthwestSmoothie http://t.co/Vr9k180LaI,has the smoooothest flight attendants SouthwestSmoothie
neutral,@SouthwestAir #stepup #makeitright re you best? Or just money hungry? #wewillsee,stepup makeitright re you best Or just money hungry wewillsee
negative,@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!,I called the 800  and the rep there was pleasant but less than helpful Told me I was SOL Train them for consistent CX
negative,@SouthwestAir 25 year customer but I am 6 3 and those lost 2 or 3 inches really hurt  every time the person in front shifts he raps my knees,25 year customer but I am 6 3 and those lost 2 or 3 inches really hurt  every time the person in front shifts he raps my knees
neutral,"@SouthwestAir- Wife's RR pts expired a few days ago, were planning on Flight Booking Problems trip today. Anything you can do for us? On a tight budget...",Wifes RR pts expired a few days ago were planning on Flight Booking Problems trip today Anything you can do for us On a tight budget
negative,@SouthwestAir would be great if I atleast was next to my husband who is flying in the same reservation,would be great if I atleast was next to my husband who is flying in the same reservation
positive,@SouthwestAir Thanks to your team for dealing with Flight 1700 to Houston.,Thanks to your team for dealing with Flight 1700 to Houston
positive,"@SouthwestAir bumped me to preboard on both flights (because I'm fat?) Whatever the reason, thanks!",bumped me to preboard on both flights because Im fat Whatever the reason thanks
negative,"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations.",I heart Southwest but those commercials aimed to satisfy a nanosmattering of travelers to few destinations
neutral,@SouthwestAir I urgently need two receipts sent but CS is closed. Can you help?,I urgently need two receipts sent but CS is closed Can you help
neutral,@SouthwestAir sent,sent
negative,@SouthwestAir Any ETD for SWA1004 from PHL? Appears delayed but no info available at gate.,Any ETD for SWA1004 from PHL Appears delayed but no info available at gate
negative,@SouthwestAir my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!,my bday was yesterday and my girl gave birth to my first born and I couldnt get a courtesy flight change from Lynn THANKS
negative,@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.,weather where And at what time Cancelled Flighted No I cant because meeting was today
neutral,@SouthwestAir the flight isn't that empty.... Is this rude or not? http://t.co/4RL0p5JChB,the flight isnt that empty Is this rude or not
positive,@SouthwestAir - We left iPad in a seat pocket.  Filed lost item report. Received it exactly 1 week Late Flightr.  Is that a record?  #unbelievable,We left iPad in a seat pocket  Filed lost item report Received it exactly 1 week Late Flightr  Is that a record  unbelievable
negative,@SouthwestAir when and why was flight 4471 from MSP Cancelled Flighted this AM?,when and why was flight 4471 from MSP Cancelled Flighted this AM
negative,@SouthwestAir I luv y'all but please stop overheating your planes. Second flight in a row that feels like a sauna.,I luv yall but please stop overheating your planes Second flight in a row that feels like a sauna
neutral,@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed,I was not the one traveling I was asking for my sister who was waiting on my nephew in Midlandflight eventually landed
positive,@SouthwestAir can anyone help me upgrade to buisness select !? Cant seem to get hail of the right area at all .. I know you guys are good,can anyone help me upgrade to buisness select  Cant seem to get hail of the right area at all  I know you guys are good
negative,@SouthwestAir give us some more clever advertising about #bagsflyfree is that because #badpolicy allows you to #cheatcustomers,give us some more clever advertising about bagsflyfree is that because badpolicy allows you to cheatcustomers
negative,@SouthwestAir it's just the principle - it's hard to get mugged &amp; not be upset you took my money &amp; didn't give me anything #wrongiswrong,its just the principle  its hard to get mugged amp not be upset you took my money amp didnt give me anything wrongiswrong
negative,@SouthwestAir customer service you shouldn't use those words wasted my time and took my money #BadBussiness #Theft http://t.co/63zaQ2lt8f,customer service you shouldnt use those words wasted my time and took my money BadBussiness Theft
negative,@SouthwestAir three hour flight to Orlando and no wifi? Uncool. #firstworldproblems,three hour flight to Orlando and no wifi Uncool firstworldproblems
positive,"@SouthwestAir loving the new planes and the lighting, only wish windows were larger. http://t.co/h44uJ63CJG",loving the new planes and the lighting only wish windows were larger
negative,@SouthwestAir I would like to ask that his bags be picked up at PIT &amp; taken to his hotel by the airport. Will someone contact me,I would like to ask that his bags be picked up at PIT amp taken to his hotel by the airport Will someone contact me
negative,"@SouthwestAir After multiple attempts, I was finally able to submit them Late Flight last night.",After multiple attempts I was finally able to submit them Late Flight last night
neutral,@SouthwestAir it's a new day and a new chance for you to do the right thing it's never too Late Flight to be honest.,its a new day and a new chance for you to do the right thing its never too Late Flight to be honest
neutral,"@SouthwestAir quick question - i bought wifi for my phone, do I have to buy it again on my tablet? I have 9 hours left on my trip",quick question  i bought wifi for my phone do I have to buy it again on my tablet I have 9 hours left on my trip
positive,@southwestair cool shot of the moon and one of your fleet http://t.co/kl9BAiMES6,cool shot of the moon and one of your fleet
negative,"@SouthwestAir hey remember that time you lost my husbands bags? I do. 

#filmjobnoequipment 
#nowarmclothes","hey remember that time you lost my husbands bags I do 

filmjobnoequipment 
nowarmclothes"
positive,@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!,I love this airline so much Thanks so much The service is great The snacks are amazing Everything is outstanding thanks
negative,@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment,you need to redeem yourself I lost respect for you tonight lostbags filmjobnoequipment
negative,@SouthwestAir way to fuck up and lose @c_istudios bags. My husband has no warm clothes and no equipment. #youdidit #notcool,way to fuck up and lose  bags My husband has no warm clothes and no equipment youdidit notcool
neutral,"@SouthwestAir you should have assigned seating, because now my cousin &amp; I probably can't sit together on our flight tomorrow.. Thanks.",you should have assigned seating because now my cousin amp I probably cant sit together on our flight tomorrow Thanks
negative,@SouthwestAir wifi stays connected about the lifetime of a higgs boson,wifi stays connected about the lifetime of a higgs boson
negative,@SouthwestAir When will your phone agents be able to give the correct departure times for CUN? When can we checkin online for international?,When will your phone agents be able to give the correct departure times for CUN When can we checkin online for international
negative,@SouthwestAir making me miss #TheBachelor right now #wah,making me miss TheBachelor right now wah
neutral,@SouthwestAir Please lower my plane flight by like $100 bucks!! Thanks~ #FloridaVacation,Please lower my plane flight by like 100 bucks Thanks FloridaVacation
negative,@SouthwestAir we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don't let them travel,we can let bags flutter because we charge travelers that had to change dates fullprice and we dont let them travel
positive,@SouthwestAir 👏👏👏 on that Late Flightst ad. Makes me happy to be flying you in a few days. #BETHonors,on that Late Flightst ad Makes me happy to be flying you in a few days BETHonors
positive,@SouthwestAir The Fact That U See Black History Month 12 Months A Year Is Honorable! We WILL BE An Economic Base For Corp. Like U In Future!,The Fact That U See Black History Month 12 Months A Year Is Honorable We WILL BE An Economic Base For Corp Like U In Future
neutral,@SouthwestAir should offer cdn border towns incentive to fly since exchange rates are #hurt. #customerappreciation #gaincustomers #keepem2,should offer cdn border towns incentive to fly since exchange rates are hurt customerappreciation gaincustomers keepem2
negative,@SouthwestAir your welcome. It was the thoughts of nearly the entire plane.,your welcome It was the thoughts of nearly the entire plane
neutral,@SouthwestAir Do you know the reason flight #336 from Dallas to Midland was diverted to Lubbock? Was suppose to be direct to Midland.,Do you know the reason flight 336 from Dallas to Midland was diverted to Lubbock Was suppose to be direct to Midland
positive,"@SouthwestAir in flight wifi + @TMobile wifi calling makes for the best combination. Who doesn't love texting 40,000 feet in the air :D",in flight wifi   wifi calling makes for the best combination Who doesnt love texting 40000 feet in the air D
negative,@SouthwestAir has become like every other airline #crooked I can't believe they are taking over $500 #shouldwearmasks #shocked,has become like every other airline crooked I cant believe they are taking over 500 shouldwearmasks shocked
negative,@SouthwestAir here is my conf #F8NEQM. My flight was delayed for 3 hours while my friend waited for me on her bday. Please follow up.,here is my conf F8NEQM My flight was delayed for 3 hours while my friend waited for me on her bday Please follow up
negative,@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!,Twitter cust svc rule 1 Dont say IF we fell short I just told u u did 2 If u cant solve problem dont say anything at all
positive,@SouthwestAir great day in the air. http://t.co/YNc2ZUt4zz,great day in the air
positive,@SouthwestAir thanks!,thanks
positive,@SouthwestAir /I really love your customer service Lou Ann in Phx rocks. Thanks SW. #be Ourguest,I really love your customer service Lou Ann in Phx rocks Thanks SW be Ourguest
neutral,"See you in ATL! “@SouthwestAir: Congrats to our #DestinationDragons winners! Ready, Atlanta? http://t.co/AY1GIdcfa4 http://t.co/yC7V2s0iOd”",See you in ATL  Congrats to our DestinationDragons winners Ready Atlanta
neutral,@SouthwestAir if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?,if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass
negative,"@SouthwestAir very disappointed in your customer service right now. definitely not feeling the luv. what's worse, 2nd time this winter.",very disappointed in your customer service right now definitely not feeling the luv whats worse 2nd time this winter
neutral,@SouthwestAir will do - if you follow back I can DM that info,will do  if you follow back I can DM that info
positive,"@SouthwestAir Katie, Gate C47, Denver International, fantastic customer service helping me and 2 new flyers; thx for amazing staff!",Katie Gate C47 Denver International fantastic customer service helping me and 2 new flyers thx for amazing staff
positive,@SouthwestAir thankyou :))❤️,thankyou
neutral,@SouthwestAir how much is ur wifi fam,how much is ur wifi fam
neutral,@SouthwestAir @Imaginedragons I tried. 😔 It's okay,I tried  Its okay
positive,@SouthwestAir happy to enter your sweepstakes again #nutsaboutsouthwest,happy to enter your sweepstakes again nutsaboutsouthwest
positive,@SouthwestAir thanks for the great customer service today! 👍👌,thanks for the great customer service today
neutral,@SouthwestAir is the vinyl part of the prize too?,is the vinyl part of the prize too
positive,@SouthwestAir beyond ready,beyond ready
negative,"@SouthwestAir when I called I was told my bag had made it to PHL, but still has not been delivered or any call from the delivery service",when I called I was told my bag had made it to PHL but still has not been delivered or any call from the delivery service
neutral,@SouthwestAir Looks like brooding skies out of ONT this evening. http://t.co/X9BLwgWA68,Looks like brooding skies out of ONT this evening
positive,@SouthwestAir is my favorite airlines. I've never had issues with them. Plus there crew is entertaining.,is my favorite airlines Ive never had issues with them Plus there crew is entertaining
positive,@SouthwestAir following. Thank you.,following Thank you
negative,@SouthwestAir would someone please DM me the customer relations number. The website has only customer service.,would someone please DM me the customer relations number The website has only customer service
negative,@SouthwestAir : This is the second time in a row I haven't received text updates about flight time change. Don't offer if you won't use it,This is the second time in a row I havent received text updates about flight time change Dont offer if you wont use it
negative,@SouthwestAir you Cancelled Flightled my flight and now I am in the back of the queue and you want to charge me 200  for business class? Stay classy,you Cancelled Flightled my flight and now I am in the back of the queue and you want to charge me 200  for business class Stay classy
negative,@SouthwestAir hope your flyers get a credit of some sort for all the delays and Cancelled Flightlations #shittydeal #notimpressed,hope your flyers get a credit of some sort for all the delays and Cancelled Flightlations shittydeal notimpressed
negative,@SouthwestAir @TaylorLumsden Taylor.  U gotta love SWA responsiveness at the@very least huh?,Taylor  U gotta love SWA responsiveness at the least huh
positive,@SouthwestAir It's all good. Thanks!,Its all good Thanks
positive,@SouthwestAir thank you :),thank you
negative,@SouthwestAir NOW you love me? After taking my money and only taking me halfway home. Sorry. Too Late Flight,NOW you love me After taking my money and only taking me halfway home Sorry Too Late Flight
negative,"@SouthwestAir oh, ok!  all good!  looking forward to escaping the cold for a bit!  thanks!",oh ok  all good  looking forward to escaping the cold for a bit  thanks
negative,@SouthwestAir wifi is so slow! What is the point having one if can't get on the Internet?! Ugh...,wifi is so slow What is the point having one if cant get on the Internet Ugh
neutral,@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,can you tell me if flight 805 from MDWFLL tomorrow 224 is at full capacity  im hoping for a little bit of extra room
neutral,@SouthwestAir  Just left there  Friday!,Just left there  Friday
positive,@SouthwestAir oh no worries. Just have never seen that before until today. I mean…it is a great card 😀,oh no worries Just have never seen that before until today I meanit is a great card
positive,@SouthwestAir Thank you Thank you Thank you!!! My last attempt to win #DestinationDragons tickets was a success! I could not be happier!! :),Thank you Thank you Thank you My last attempt to win DestinationDragons tickets was a success I could not be happier
positive,@SouthwestAir eyes next steps for improving #inflight #Wifi - Runway Girl http://t.co/h46HT1Oz40,eyes next steps for improving inflight Wifi  Runway Girl
neutral,@SouthwestAir Could you maybe hook (@FuyukaiDesuYo ) with some imagine dragon tickets tonight! SHES a HUGEEEEE FAN &amp; would really love to go,Could you maybe hook   with some imagine dragon tickets tonight SHES a HUGEEEEE FAN amp would really love to go
negative,"@SouthwestAir can tweet through the weekend/ bad weather, but closes down customer relations center to process refunds for Cancelled Flighted flights.",can tweet through the weekend bad weather but closes down customer relations center to process refunds for Cancelled Flighted flights
negative,@SouthwestAir stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand!!!!!!!!!,stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand
